,area,bedrooms,distance,furnished,price
0,1000.0,2,15.65,Semifurnished,23000
1,1605.0,3,14.55,Semifurnished,26000
2,1600.0,2,4.66,Semifurnished,60000
3,1710.0,3,12.09,Semifurnished,33000
4,6000.0,4,33.26,Furnished,150000
5,600.0,1,7.16,Semifurnished,20000
6,1250.0,2,12.58,Semifurnished,22000
7,1200.0,2,6.73,Semifurnished,23500
8,2000.0,3,12.58,Furnished,55000
9,390.0,1,7.66,Semifurnished,12050
10,550.0,1,7.66,Semifurnished,12100
11,400.0,1,7.66,Semifurnished,14500
12,1350.0,2,3.62,Semifurnished,44000
13,2218.0,3,126.97,Semifurnished,35000
14,1100.0,2,39.12,Semifurnished,32000
15,1982.0,4,7.68,Semifurnished,45000
16,2450.0,3,6.29,Semifurnished,80000
17,1500.0,2,4.34,Semifurnished,34000
18,650.0,1,19.09,Semifurnished,11500
19,650.0,1,12.58,Semifurnished,14000
20,1000.0,2,15.65,Semifurnished,45000
21,1500.0,0,13.34,Semifurnished,9000
22,1200.0,2,13.45,Semifurnished,22500
23,1680.0,3,19.09,Semifurnished,20000
24,600.0,1,11.04,Semifurnished,10000
25,2800.0,4,14.35,Furnished,60000
26,180.0,1,6.45,Furnished,15000
27,1040.0,2,7.88,Semifurnished,16500
28,1200.0,2,15.65,Semifurnished,28000
29,600.0,1,8.75,Semifurnished,16000
30,1110.0,2,14.55,Semifurnished,19000
31,490.0,1,9.17,Semifurnished,16000
32,2363.0,3,12.72,Furnished,60000
33,600.0,1,69.95,Semifurnished,17000
34,2400.0,5,9.17,Semifurnished,80000
35,1200.0,2,7.68,Semifurnished,26000
36,1500.0,3,16.39,Semifurnished,26000
37,800.0,2,5.71,Semifurnished,22000
38,681.0,1,7.66,Semifurnished,11500
39,4465.0,4,3.53,Furnished,950000
40,600.0,1,15.65,Semifurnished,16000
41,1550.0,2,10.51,Semifurnished,19000
42,1500.0,2,9.17,Semifurnished,35000
43,2422.0,4,20.2,Semifurnished,28000
44,1056.0,2,10.67,Semifurnished,22000
45,2400.0,2,39.12,Furnished,35000
46,1690.0,3,11.88,Semifurnished,23500
47,800.0,1,4.34,Semifurnished,20000
48,1250.0,2,12.19,Semifurnished,24000
49,550.0,1,8.06,Semifurnished,7000
50,651.0,1,9.14,Semifurnished,15000
51,450.0,1,9.17,Furnished,25000
52,1100.0,2,6.45,Semifurnished,29000
53,1500.0,3,9.97,Semifurnished,30000
54,1700.0,3,9.97,Semifurnished,30000
55,1000.0,2,39.12,Semifurnished,26000
56,1350.0,2,10.77,Semifurnished,30000
57,4280.0,4,10.1,Semifurnished,39000
58,1050.0,2,10.67,Semifurnished,25000
59,1241.0,2,14.55,Semifurnished,23510
60,1655.0,3,14.89,Semifurnished,43000
61,650.0,1,14.55,Semifurnished,18000
62,1200.0,2,39.12,Semifurnished,25000
63,390.0,1,7.66,Semifurnished,12300
64,2600.0,3,54.76,Semifurnished,70000
65,625.0,1,19.09,Semifurnished,12500
66,900.0,2,6.24,Semifurnished,20000
67,1100.0,2,10.42,Semifurnished,19000
68,2061.0,3,126.97,Semifurnished,32000
69,1250.0,2,6.73,Semifurnished,27000
70,1668.0,3,14.55,Semifurnished,30000
71,2000.0,3,7.16,Semifurnished,65000
72,560.0,1,10.42,Semifurnished,14000
73,1165.0,2,19.09,Semifurnished,23000
74,1304.0,2,14.35,Semifurnished,25000
75,1198.0,1,12.58,Furnished,20000
76,1914.0,3,7.4,Semifurnished,35000
77,1800.0,4,6.45,Semifurnished,71000
78,550.0,1,9.15,Semifurnished,14000
79,400.0,0,12.19,Furnished,11500
80,1460.0,2,10.27,Semifurnished,26000
81,600.0,1,84.13,Semifurnished,15000
82,1158.0,2,13.88,Semifurnished,22000
83,1548.0,3,37.06,Semifurnished,14000
84,1530.0,3,43.31,Furnished,30000
